review_status,slug,title,published_at,published_date_label,publication,section,rights_status,original_url,embedded_url_candidates,review_note
missing_original_url,folder-article-4fcd55d3,রোহিঙ্গাদের শিবিরে হত্যাকাণ্ড,2021-12-25,২৫ ডিসেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d612677d,আমেরিকাকে তুষ্ট রাখা কঠিন,2021-12-23,২৩ ডিসেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a8902b0a,মর্যাদাপূর্ণ পদে ন্যুনতম মান চাই,2021-12-19,১৯ ডিসেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-2edbad26,হাফ ভাড়া ও নিরাপদ সড়ক,2021-12-12,১২ ডিসেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-43eb6aa8,খালেদা জিয়ার বিদেশে চিকিৎসা,2021-12-05,৫ ডিসেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-ab519345,খেলা বনাম রাজনীতি,2021-11-28,২৮ নভেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-75b97760,শাহরুখ খানের পুত্রের মাদকাসক্তি,2021-11-25,২৫ নভেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-1a82a3ff,ধর্ষণ মামলায় বিচারকের পর্যবেক্ষণ,2021-11-21,২১ নভেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-9b62e32e,ডিজেলের দাম ও ধর্মঘট,2021-11-14,১৪ নভেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-9a9e1c8e,কুমিল্লা কান্ডের আক্রোশ ত্রিপুরায়,2021-11-07,৭ নভেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-110e97c2,বোধশূন্য মানুষ,2021-10-31,৩১ অক্টোবর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-bfcf0e24,ভোঁতা অনুভূতি চাই,2021-10-24,২৪ অক্টোবর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-9fab7d67,বিজ্ঞাপনমুক্ত বিদেশি চ্যানেল,2021-10-21,২১ অক্টোবর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-9869af26,হায় হায় কোম্পানির ফাঁদ,2021-10-17,১৭ অক্টোবর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-4f05e104,রবীন্দ্রনাথের চুলও লম্বা ছিলো,2021-10-10,১০ অক্টোবর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-b2dd5640,সাংবাদিকদের সম্পদের হিসাব,2021-10-03,৩ অক্টোবর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-506c9ec4,বিমানবন্দরে পিসিআর ল্যাব স্থাপন প্রসঙ্গ,2021-09-26,২৬ সেপ্টেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a3b908f4,নেতিবাচক খবরের প্রাধান্য,2021-09-12,১২ সেপ্টেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-7986f711,নজর মোহাম্মদ আর পরীমনি,2021-09-05,৫ সেপ্টেম্বর ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-7ad08789,ছাত্র-ছাত্রীদের মানসিক অবস্থা,2021-08-29,২৯ আগস্ট ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-f027ee60,দ্বিতীয় দফায় তালেবানি শাসন,2021-08-22,২২ আগস্ট ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-a384814b,যত দোষ নন্দ ঘোষ,2021-08-16,১৬ আগস্ট ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-16a22be4,ভুঁইফোড় সংগঠনের বিরুদ্ধে অভিযান,2021-08-08,৮ আগস্ট ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-9810ec87,জনতার বিক্ষোভে অশান্ত কিউবা,2021-07-25,২৫ জুলাই ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-aebf31c1,দুর্ঘটনার পর সচেতনতা বৃদ্ধি পায়,2021-07-18,১৮ জুলাই ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-3842189a,"ঢাকা বিশ্ববিদ্যালয়, রবীন্দ্রনাথ এবং বিরোধিতার কাহিনী",2021-07-04,৪ জুলাই ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d58590b8,সাদা মনের এক মানুষ,2021-06-20,২০ জুন ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-ffb4ca5a,বাজেট ২০২১-২০২২,2021-06-13,১৩ জুন ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-3e25c938,ইসরাইলে ভ্রমণ নিষেধাজ্ঞা,2021-06-06,৬ জুন ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d406c852,ফিলিস্তিন-ইসরাইলের যুদ্ধ বিরতি,2021-05-30,৩০ মে ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-8f7abe62,'হিন্দু না ওরা মুসলিম ওই জিজ্ঞাসে কোন জন’,2021-05-23,২৩ মে ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-5cd157af,ইরান ও অপ্রতিরোধ্য ইসরাইল,2021-05-09,৯ মে ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-e125e1e9,সরকার উভয় সঙ্কটে,2021-05-01,১ মে ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-c1ca7568,পদমর্যাদার লড়াই পুলিশ বনাম ডাক্তার,2021-04-25,২৫ এপ্রিল ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-2edbde24,আড়িপাতায় বিপর্যস্ত হেফাজতে ইসলাম এবং ব্যক্তিগত গোপনীয়তা,2021-04-18,১৮ এপ্রিল ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
