work_id,rights_status,evidence,reviewed_by,reviewed_at,notes
zea-2026-03-15-sangbad-448,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-04-04-sangbad-1574,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-04-18-sangbad-2635,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-04-25-sangbad-3164,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-05-02-sangbad-3773,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-05-09-sangbad-4472,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-05-16-sangbad-5271,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-05-23-sangbad-5986,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-06-06-sangbad-7105,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-06-13-sangbad-7916,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-06-20-sangbad-8627,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-06-27-sangbad-9440,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-07-04-sangbad-10154,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-07-12-sangbad-10895,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-07-18-sangbad-11418,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-07-25-sangbad-11975,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-08-01-sangbad-12677,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-08-08-sangbad-13399,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-08-15-sangbad-14301,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-08-22-sangbad-14979,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-08-29-sangbad-15800,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-09-05-sangbad-16588,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-09-12-sangbad-17258,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Original publication image credited to Sangbad; retain source record for future image-rights review."
zea-2026-09-19-sangbad-18013,full_text_permitted,Archive owner authorized full-text republication,archive owner,2026-09-22,"Hero image uses approved Wikimedia Commons asset; full article and source record retained."
