source_id,work_id,kind,location,discovery_method,verification_status,rights_notes
source-sangbad-448,zea-2026-03-15-sangbad-448,web_page,https://sangbad.net/news/448/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-1574,zea-2026-04-04-sangbad-1574,web_page,https://sangbad.net/news/1574/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-2635,zea-2026-04-18-sangbad-2635,web_page,https://sangbad.net/news/2635/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-3164,zea-2026-04-25-sangbad-3164,web_page,https://sangbad.net/news/3164/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-3773,zea-2026-05-02-sangbad-3773,web_page,https://sangbad.net/news/3773/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-4472,zea-2026-05-09-sangbad-4472,web_page,https://sangbad.net/news/4472/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-5271,zea-2026-05-16-sangbad-5271,web_page,https://sangbad.net/news/5271/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-5986,zea-2026-05-23-sangbad-5986,web_page,https://sangbad.net/news/5986/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-7105,zea-2026-06-06-sangbad-7105,web_page,https://sangbad.net/news/7105/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-7916,zea-2026-06-13-sangbad-7916,web_page,https://sangbad.net/news/7916/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-8627,zea-2026-06-20-sangbad-8627,web_page,https://sangbad.net/news/8627/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-9440,zea-2026-06-27-sangbad-9440,web_page,https://sangbad.net/news/9440/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-10154,zea-2026-07-04-sangbad-10154,web_page,https://sangbad.net/news/10154/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-10895,zea-2026-07-12-sangbad-10895,web_page,https://sangbad.net/news/10895/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-11418,zea-2026-07-18-sangbad-11418,web_page,https://sangbad.net/news/11418/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-11975,zea-2026-07-25-sangbad-11975,web_page,https://sangbad.net/news/11975/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-12677,zea-2026-08-01-sangbad-12677,web_page,https://sangbad.net/news/12677/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-13399,zea-2026-08-08-sangbad-13399,web_page,https://sangbad.net/news/13399/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-14301,zea-2026-08-15-sangbad-14301,web_page,https://sangbad.net/news/14301/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-14979,zea-2026-08-22-sangbad-14979,web_page,https://sangbad.net/news/14979/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-15800,zea-2026-08-29-sangbad-15800,web_page,https://sangbad.net/news/15800/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-16588,zea-2026-09-05-sangbad-16588,web_page,https://sangbad.net/news/16588/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-17258,zea-2026-09-12-sangbad-17258,web_page,https://sangbad.net/news/17258/,Sangbad opinion archive and author-byline verification,verified,"Full article imported with archive-owner authorization; source advertisements removed; original publication image retained with source-page credit."
source-sangbad-18013,zea-2026-09-19-sangbad-18013,web_page,https://sangbad.net/news/18013/,user-supplied URL and author-byline verification,verified,"Full article imported with archive-owner authorization; advertisements and recommendation panels removed; hero image uses the approved Wikimedia Commons asset."
